"MessageNumber","DiagnosisTypes","Timestamp","TimeElapsed","Module","Summary","UsbDevice","TransferData"
"4825","None","2017-08-01T09:25:13.9500358","0.0006906","UsbSpec","Control Out Transfer","2 ","08,00,0C,00,00,00,00,00",
"4824","None","2017-08-01T09:25:13.9499577","0.0156518","UsbSpec","Interrupt In Transfer","2 ","00,08,00,10,98,EF,14,03",
"4821","None","2017-08-01T09:25:13.9417351","0.0006366","UsbSpec","Control Out Transfer","2 ","08,00,08,00,00,00,00,00",
"4820","None","2017-08-01T09:25:13.9416543","0.0161827","UsbSpec","Interrupt In Transfer","2 ","00,08,00,0C,00,00,00,00",
"4817","None","2017-08-01T09:25:13.9341687","0.0009198","UsbSpec","Control Out Transfer","2 ","08,00,04,00,00,00,00,00",
"4816","Validation","2017-08-01T09:25:13.9335015","0.0164248","UsbSpec","Interrupt In Transfer","2 ","00,08,00,08,33,39,00,00",
"4813","None","2017-08-01T09:25:13.9257853","0.0006593","UsbSpec","Control Out Transfer","2 ","08,03,D4,00,C3,00,00,00",
"4812","Validation","2017-08-01T09:25:13.9256992","0.0159241","UsbSpec","Interrupt In Transfer","2 ","00,08,00,04,36,33,38,30",
"4809","None","2017-08-01T09:25:13.9175944","0.0006631","UsbSpec","Control Out Transfer","2 ","08,03,D0,00,C3,00,00,00",
"4808","Validation","2017-08-01T09:25:13.9175382","0.0159241","UsbSpec","Interrupt In Transfer","2 ","00,08,03,D4,30,30,30,30",
"4805","None","2017-08-01T09:25:13.9098786","0.0006120","UsbSpec","Control Out Transfer","2 ","08,03,CC,00,C3,00,00,00",
"4804","None","2017-08-01T09:25:13.9097921","0.0158641","UsbSpec","Interrupt In Transfer","2 ","00,08,03,D0,30,30,30,30",
"4801","None","2017-08-01T09:25:13.9016741","0.0006408","UsbSpec","Control Out Transfer","2 ","08,03,C8,00,C3,00,00,00",
"4800","None","2017-08-01T09:25:13.9015631","0.0159362","UsbSpec","Interrupt In Transfer","2 ","00,08,03,CC,30,30,30,30",
"4797","None","2017-08-01T09:25:13.8936996","0.0005849","UsbSpec","Control Out Transfer","2 ","08,03,C4,00,C3,00,00,00",
"4796","None","2017-08-01T09:25:13.8936161","0.0161416","UsbSpec","Interrupt In Transfer","2 ","00,08,03,C8,30,30,30,30",
"4793","None","2017-08-01T09:25:13.8856341","0.0006570","UsbSpec","Control Out Transfer","2 ","08,03,C0,00,C3,00,00,00",
"4792","None","2017-08-01T09:25:13.8855491","0.0159830","UsbSpec","Interrupt In Transfer","2 ","00,08,03,C4,30,30,30,30",
"4789","None","2017-08-01T09:25:13.8775765","0.0005837","UsbSpec","Control Out Transfer","2 ","08,03,BC,00,C3,00,00,00",
"4788","None","2017-08-01T09:25:13.8775021","0.0160687","UsbSpec","Interrupt In Transfer","2 ","00,08,03,C0,30,30,30,30",
"4785","None","2017-08-01T09:25:13.8701359","0.0007231","UsbSpec","Control Out Transfer","2 ","08,03,B8,00,C3,00,00,00",
"4784","None","2017-08-01T09:25:13.8700725","0.0154445","UsbSpec","Interrupt In Transfer","2 ","00,08,03,BC,30,30,30,30",
"4781","None","2017-08-01T09:25:13.8615765","0.0004958","UsbSpec","Control Out Transfer","2 ","08,03,B4,00,C3,00,00,00",
"4780","None","2017-08-01T09:25:13.8615014","0.0159399","UsbSpec","Interrupt In Transfer","2 ","00,08,03,B8,30,30,30,30",
"4777","None","2017-08-01T09:25:13.8536069","0.0005214","UsbSpec","Control Out Transfer","2 ","08,03,B0,00,C3,00,00,00",
"4776","None","2017-08-01T09:25:13.8535348","0.0164995","UsbSpec","Interrupt In Transfer","2 ","00,08,03,B4,30,30,30,30",
"4773","None","2017-08-01T09:25:13.8456056","0.0006789","UsbSpec","Control Out Transfer","2 ","08,03,AC,00,C3,00,00,00",
"4772","None","2017-08-01T09:25:13.8455206","0.0159438","UsbSpec","Interrupt In Transfer","2 ","00,08,03,B0,30,30,30,30",
"4769","None","2017-08-01T09:25:13.8380260","0.0006283","UsbSpec","Control Out Transfer","2 ","08,03,A8,00,C3,00,00,00",
"4768","None","2017-08-01T09:25:13.8379071","0.0155945","UsbSpec","Interrupt In Transfer","2 ","00,08,03,AC,30,30,30,30",
"4765","None","2017-08-01T09:25:13.8298801","0.0006215","UsbSpec","Control Out Transfer","2 ","08,03,A4,00,C3,00,00,00",
"4764","None","2017-08-01T09:25:13.8298121","0.0156700","UsbSpec","Interrupt In Transfer","2 ","00,08,03,A8,30,30,30,30",
"4761","None","2017-08-01T09:25:13.8218803","0.0007672","UsbSpec","Control Out Transfer","2 ","08,03,A0,00,C3,00,00,00",
"4760","None","2017-08-01T09:25:13.8218116","0.0160619","UsbSpec","Interrupt In Transfer","2 ","00,08,03,A4,30,30,30,30",
"4757","None","2017-08-01T09:25:13.8137385","0.0007000","UsbSpec","Control Out Transfer","2 ","08,03,9C,00,C3,00,00,00",
"4756","None","2017-08-01T09:25:13.8136705","0.0161110","UsbSpec","Interrupt In Transfer","2 ","00,08,03,A0,30,30,30,30",
"4753","None","2017-08-01T09:25:13.8056194","0.0005305","UsbSpec","Control Out Transfer","2 ","08,03,98,00,C3,00,00,00",
"4752","None","2017-08-01T09:25:13.8055650","0.0162160","UsbSpec","Interrupt In Transfer","2 ","00,08,03,9C,30,30,30,30",
"4749","None","2017-08-01T09:25:13.7975690","0.0006943","UsbSpec","Control Out Transfer","2 ","08,03,94,00,C3,00,00,00",
"4748","None","2017-08-01T09:25:13.7974919","0.0161484","UsbSpec","Interrupt In Transfer","2 ","00,08,03,98,30,30,30,30",
"4745","None","2017-08-01T09:25:13.7895979","0.0006792","UsbSpec","Control Out Transfer","2 ","08,03,90,00,C3,00,00,00",
"4744","None","2017-08-01T09:25:13.7895488","0.0159883","UsbSpec","Interrupt In Transfer","2 ","00,08,03,94,30,30,30,30",
"4741","None","2017-08-01T09:25:13.7820258","0.0005049","UsbSpec","Control Out Transfer","2 ","08,03,8C,00,C3,00,00,00",
"4740","None","2017-08-01T09:25:13.7819571","0.0154997","UsbSpec","Interrupt In Transfer","2 ","00,08,03,90,30,30,30,30",
"4737","None","2017-08-01T09:25:13.7735616","0.0004614","UsbSpec","Control Out Transfer","2 ","08,03,88,00,C3,00,00,00",
"4736","None","2017-08-01T09:25:13.7734823","0.0160359","UsbSpec","Interrupt In Transfer","2 ","00,08,03,8C,30,30,30,30",
"4733","None","2017-08-01T09:25:13.7656290","0.0005135","UsbSpec","Control Out Transfer","2 ","08,03,84,00,C3,00,00,00",
"4732","None","2017-08-01T09:25:13.7655414","0.0163844","UsbSpec","Interrupt In Transfer","2 ","00,08,03,88,30,30,30,30",
"4729","None","2017-08-01T09:25:13.7575982","0.0006359","UsbSpec","Control Out Transfer","2 ","08,03,80,00,C3,00,00,00",
"4728","None","2017-08-01T09:25:13.7574921","0.0159589","UsbSpec","Interrupt In Transfer","2 ","00,08,03,84,30,30,30,30",
