# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Thu Jun 04 17:47:52 2015
#
# Level,Index,Dur,Len,Ep,Record,Summary
0,122,568.916 us,64 B,01,IN txn   [33 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,123,507.604 us,,01,   [33 IN-NAK],
1,124,2.833 us,3 B,01,   IN packet,69 98 30
1,125,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,126,1.500 us,1 B,01,   ACK packet,D2
0,127,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,128,2.833 us,3 B,01,   OUT packet,E1 98 30
1,129,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,130,1.500 us,1 B,01,   ACK packet,D2
0,131,2.833 us,,,[1 SOF],[Frame: 878] 
0,132,613.895 us,64 B,01,IN txn   [31 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,133,553.937 us,,01,   [31 IN-NAK],
1,134,2.812 us,3 B,01,   IN packet,69 98 30
1,135,45.562 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,136,1.479 us,1 B,01,   ACK packet,D2
0,137,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,138,2.812 us,3 B,01,   OUT packet,E1 98 30
1,139,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,140,1.500 us,1 B,01,   ACK packet,D2
0,141,2.833 us,,,[1 SOF],[Frame: 879] 
0,142,650.041 us,64 B,01,IN txn   [30 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,143,577.500 us,,01,   [30 IN-NAK],
1,144,2.833 us,3 B,01,   IN packet,69 98 30
1,145,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,146,1.500 us,1 B,01,   ACK packet,D2
0,147,2.833 us,,,[1 SOF],[Frame: 880] 
0,148,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,149,2.833 us,3 B,01,   OUT packet,E1 98 30
1,150,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,151,1.479 us,1 B,01,   ACK packet,D2
0,152,50.916 us,64 B,01,IN txn,C1 C0 00 00 21 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,153,2.833 us,3 B,01,   IN packet,69 98 30
1,154,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,155,1.500 us,1 B,01,   ACK packet,D2
0,156,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 00 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,157,2.833 us,3 B,01,   OUT packet,E1 98 30
1,158,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 00 00 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,159,1.500 us,1 B,01,   ACK packet,D2
0,160,2.812 us,,,[1 SOF],[Frame: 881] 
0,161,264.562 us,64 B,01,IN txn   [10 POLL],C1 C0 00 00 29 00 0C 00 00 00 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,162,146.333 us,,01,   [10 IN-NAK],
1,163,2.812 us,3 B,01,   IN packet,69 98 30
1,164,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 29 00 0C 00 00 00 1B 00 00 00 00 00 00 00 00 00 00 00 00…
1,165,1.479 us,1 B,01,   ACK packet,D2
0,166,50.750 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 01 1B 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,167,2.812 us,3 B,01,   OUT packet,E1 98 30
